c0,c1,c2,c3,c4,c5,c6,c7,label,timestamp
-0.014291325425067595,-0.012380318329372206,-0.01946600013566019,-0.019646713989581344,-0.017662951965683932,-0.01866010798932409,-0.018744351714176145,-0.019448297554051586,1,1561027387859
-0.014306479907808292,-0.012394712852801425,-0.019480886397467423,-0.019661957879299866,-0.01767815115191354,-0.018675374230787065,-0.01875814274050507,-0.019462736780969714,1,1561027387865
-0.01431801340794723,-0.012405844021540168,-0.01949275517377319,-0.01967418428351692,-0.01768981876251921,-0.01868742182104848,-0.018769452723199454,-0.01947456085378657,1,1561027387865
-0.014321768501015722,-0.012409710873330936,-0.0194968008395196,-0.019677961728329866,-0.017693842076521166,-0.018691311024583702,-0.018773721906390418,-0.019479120609655454,1,1561027387871
-0.014322751977771756,-0.012410649646598059,-0.019497314929642073,-0.019678073487052142,-0.017694222056176906,-0.018691243969350336,-0.018775487694202387,-0.01948003703117812,1,1561027387871
-0.014325389483617482,-0.012413197745465964,-0.01949919247617632,-0.019680241606264307,-0.017696501934111347,-0.018693188571117948,-0.018777924034348015,-0.019482026336434644,1,1561027387877
-0.014332787911032189,-0.01242059617288067,-0.019506926179757855,-0.01968804236507921,-0.017704056823737244,-0.01870107873691067,-0.018783891950117582,-0.019488687156282325,1,1561027387878
-0.014343606155348559,-0.012431414417197039,-0.019518124403729964,-0.019699575865218148,-0.01771541150992054,-0.0187125675335607,-0.018795157229323057,-0.019499930083743344,1,1561027387884
-0.014350378733918517,-0.012438186995766997,-0.019524964037533288,-0.019706303740299195,-0.017722340550701685,-0.018719496574341844,-0.018803159153838057,-0.01950728380766914,1,1561027387884
-0.01434841178040645,-0.01243660002191067,-0.019522460642154293,-0.019703398013520005,-0.017719591286133683,-0.018716881420240573,-0.01880132631079272,-0.019505853296024,1,1561027387890
-0.014349462312395849,-0.012437605850411159,-0.019522728863087757,-0.01970366623445347,-0.017719725396600414,-0.01871712728942958,-0.018800745165436884,-0.019505540371601626,1,1561027387890
-0.014358425361922427,-0.012446300679004273,-0.0195317589678477,-0.01971314337410252,-0.017728777853104814,-0.018726313856400712,-0.018808836496929705,-0.01951356464786108,1,1561027387896
-0.014364549739903181,-0.012452358001751661,-0.019538375084206472,-0.01971971478697238,-0.017735483376441406,-0.018733220545437402,-0.018816212572599956,-0.019519979598519754,1,1561027387896
-0.014362538082902204,-0.012450011068583854,-0.019536542241161137,-0.019717837240438133,-0.01773351642292934,-0.018731074777969692,-0.018816324331322232,-0.019518638493852436,1,1561027387902
-0.014354759675831757,-0.012441919737091033,-0.019528182688734852,-0.019709030653122742,-0.017724732187358403,-0.018722156431932025,-0.018807897723662582,-0.019510547162359615,1,1561027387903
-0.014350512844385249,-0.012438052885300265,-0.019523131194487953,-0.01970384504840911,-0.01771945717566695,-0.01871717199291849,-0.018800253427058867,-0.019505294502412618,1,1561027387909
-0.014352926832786422,-0.012440846853357179,-0.01952538872067794,-0.01970699664437731,-0.017721826460579213,-0.018720167126675503,-0.01880204156661529,-0.019507552028602604,1,1561027387915
-0.014349641126351492,-0.012437561146922248,-0.019522840621810034,-0.019704649711209502,-0.017719345416944674,-0.018717596676063143,-0.01880081222067025,-0.019505406261134894,1,1561027387915
-0.014338442902379381,-0.012426340571205684,-0.019512111784471486,-0.01969293739711492,-0.017708326006928208,-0.018706532562557766,-0.018790441011242987,-0.019494655072051892,1,1561027387921
-0.014322953143471854,-0.012410940219275978,-0.019496018528463666,-0.01967655356842918,-0.017692031585220286,-0.0186904616582944,-0.018775219473268923,-0.019479344127100007,1,1561027387921
-0.014313788928245178,-0.012401731300560392,-0.01948613905741442,-0.01966727759448023,-0.017681973300215398,-0.01868089511166753,-0.018764244766741368,-0.01946966582175086,1,1561027387927
-0.014310413814832426,-0.012398467945869917,-0.019482875702723945,-0.01966437186770104,-0.017678933462969476,-0.018677855274421607,-0.018759774417850306,-0.019465776618215636,1,1561027387927
-0.014305764651985723,-0.012393729376045392,-0.01947885238872199,-0.01966028149846572,-0.017675178369900985,-0.018673899015653014,-0.018756600470137653,-0.019461350972813485,1,1561027387933
-0.014294208800102329,-0.012381950006717444,-0.019467587109516515,-0.019648949164026874,-0.017664069552906697,-0.018662566681214174,-0.018746005743265837,-0.01945042096977484,1,1561027387934
-0.01427429339579265,-0.012362302823341229,-0.01944684469066199,-0.019628139689938984,-0.01764319302358544,-0.018641712503637373,-0.01872584446976715,-0.019430170289298332,1,1561027387940
-0.014257306070006618,-0.012345561366744204,-0.019429633847431405,-0.01961086179147503,-0.01762571395942139,-0.0186243451981956,-0.018708208943391914,-0.019412624169900916,1,1561027387940
-0.01424905827630261,-0.012337157110829009,-0.019421788385127592,-0.019603306901849138,-0.017618136718051042,-0.01861685736380307,-0.018700050556665727,-0.019404801059341555,1,1561027387946
-0.014243805616355612,-0.012331703285181914,-0.019416915704836335,-0.019598948311680353,-0.017613644017415525,-0.018612319959678644,-0.01869508846939665,-0.019399838972072477,1,1561027387946
-0.014233836738328546,-0.012321935572854945,-0.019407371509953916,-0.019589024137142197,-0.017604032767299743,-0.018602552247351675,-0.018686147771614526,-0.019390384184167882,1,1561027387953
-0.014219956305021798,-0.012308233953503842,-0.019393222855713706,-0.019574450799757337,-0.017589392374681517,-0.018588090668689092,-0.018672334393541143,-0.01937663786132787,1,1561027387953
-0.014211552049106603,-0.012299986159799834,-0.01938463978584287,-0.01956595713686432,-0.017580630490855037,-0.018579351136607067,-0.018663751323670305,-0.019367741867034657,1,1561027387959
-0.0142117532148067,-0.01230014262201102,-0.01938510917247643,-0.019566180654308873,-0.01758156926412216,-0.018579775819751718,-0.018663460750992386,-0.019367227776912185,1,1561027387965
-0.014213295485174117,-0.012301595485400616,-0.01938729964343305,-0.019568706401432323,-0.017583737383334325,-0.01858201099419725,-0.018664935966126436,-0.01936939589612435,1,1561027387965
-0.014211350883406505,-0.012299606180144093,-0.019386047945743553,-0.019567208834553818,-0.017582172761222453,-0.018581027517441215,-0.0186643548207706,-0.01936839006762386,1,1561027387972
-0.014204444194369815,-0.012292721842851859,-0.019378604814839936,-0.01955925161352773,-0.01757428259542973,-0.01857329381385968,-0.018656554061955696,-0.019361170454164797,1,1561027387972
-0.014204287732158628,-0.01229243127017394,-0.01937744252412826,-0.019558491654216248,-0.01757314265646251,-0.01857237739233701,-0.018654788274143727,-0.019359270555886095,1,1561027387988
-0.014216357674164494,-0.012304165936012976,-0.019389691280089768,-0.01957100863111122,-0.017585749040335302,-0.01858500612795426,-0.018666746457427316,-0.019371519311847604,1,1561027387988
-0.01422947814815976,-0.012317509927452794,-0.01940343760292978,-0.01958457613999559,-0.017599785935853235,-0.018599132430450013,-0.018680470428522878,-0.01938557855910999,1,1561027387999
-0.014235535470907149,-0.012323969581600378,-0.0194102325332442,-0.019591169904609906,-0.017606491459189827,-0.018605614436342052,-0.018687444172792934,-0.019392261730702128,1,1561027388006
-0.01423848590117525,-0.012327121177568576,-0.019413071204790022,-0.019593561541266624,-0.017609173668524464,-0.018607983721254315,-0.01869113221062806,-0.019395458030159237,1,1561027388006
-0.01424467733438937,-0.012333357314271607,-0.019418770899626125,-0.019599305939591638,-0.01761505217731621,-0.018613839878301605,-0.018697167181630992,-0.019401671815117812,1,1561027388022
-0.014257931918851366,-0.012346589546989148,-0.019432293705021586,-0.019613365186854026,-0.017628373817011572,-0.018627832070330627,-0.018709728862014875,-0.019415306379235553,1,1561027388031
-0.014267610224200514,-0.012356133741871564,-0.019442620210959938,-0.01962373639628129,-0.017638946192138932,-0.018638471500691353,-0.01872007771969768,-0.01942561053342945,1,1561027388038
-0.014267096134078042,-0.012356133741871564,-0.01944275432142667,-0.01962344582360337,-0.01763919206132794,-0.0186382479832468,-0.018721016492964804,-0.01942561053342945,1,1561027388038
-0.014257037849073154,-0.012346455436522416,-0.01943231605676604,-0.019612404061842448,-0.01762828441003375,-0.018627474442419342,-0.018710913504471006,-0.01941499345481318,1,1561027388044
-0.014243693857633336,-0.012333357314271607,-0.01941836856822593,-0.019598501276791247,-0.017614359273238095,-0.0186133928434125,-0.018696966015930894,-0.01940124713197316,1,1561027388045
-0.01422400197076821,-0.012313844241362124,-0.01939892255054981,-0.01957947994225978,-0.017595248531728808,-0.01859410328794757,-0.018677922329654973,-0.019382270500930606,1,1561027388051
-0.014210255647928195,-0.012299986159799834,-0.019385556207365536,-0.019566135950819963,-0.017582083354244632,-0.018580803999996662,-0.01866406424809268,-0.01936843477111277,1,1561027388051
-0.014199437403611827,-0.01228919026722792,-0.019375140294449363,-0.01955580944488161,-0.017571399220394995,-0.018570298680102668,-0.018653737742154328,-0.019358421189596794,1,1561027388062
-0.01418723335113923,-0.01227718738045542,-0.019362846834998945,-0.019543180709264363,-0.017558479912099828,-0.018557848758441062,-0.01864200307631529,-0.019346306544102018,1,1561027388062
-0.014182673595270347,-0.012272895845520002,-0.019357705933774224,-0.01953815156676192,-0.017553361362619563,-0.01855228317407169,-0.018636750416368295,-0.01934062920101037,1,1561027388070
-0.014182740650503713,-0.012273052307731189,-0.019358331782618973,-0.019538933877817855,-0.017554411894608962,-0.018553110188616537,-0.01863777859661324,-0.019341165642877297,1,1561027388070
-0.014181824228981045,-0.012271800610041692,-0.019357996506452143,-0.01953866565688439,-0.017554456598097873,-0.018553065485127626,-0.0186371974512574,-0.01934091977368829,1,1561027388076
-0.01417641510682286,-0.012266123266950042,-0.01935263208778287,-0.019533167127748385,-0.01754871219977286,-0.01854761165948053,-0.018630827204087638,-0.019335398892807828,1,1561027388076
-0.014164456923539272,-0.012254165083666453,-0.01934020451786572,-0.019520314874686584,-0.01753608346415561,-0.01853518408956338,-0.018619137241737513,-0.019323507764757605,1,1561027388082
-0.01415846665602525,-0.012248621851041537,-0.019333901325929322,-0.019514346958917017,-0.017530160251874954,-0.01852919382204936,-0.018614063395746158,-0.01931738338677685,1,1561027388083
-0.014166088600884509,-0.012256310851134163,-0.019341791491722046,-0.019522594752621025,-0.01753822923162332,-0.01853741926400891,-0.018621931209794426,-0.019324468889769183,1,1561027388089
-0.01418361236853747,-0.01227352169436475,-0.01936000816345312,-0.01954105729354111,-0.017556602365565582,-0.01855543477003989,-0.018639097349536102,-0.019341925602188777,1,1561027388095
-0.014198163354177874,-0.0122880503282607,-0.019374648556071346,-0.01955585414837052,-0.017570862778528068,-0.01857018692138039,-0.01864982618687465,-0.01935681186399601,1,1561027388096
-0.014200733804790235,-0.012290799592828703,-0.01937663786132787,-0.019557262308271206,-0.01757280738029568,-0.0185725338545482,-0.01865197195434236,-0.019359650535541836,1,1561027388102
-0.014202700758302302,-0.012292923008551957,-0.01937811307646192,-0.019558804578638622,-0.017574439057640917,-0.01857400906968225,-0.01865467651542145,-0.019361237509398162,1,1561027388102
-0.0142069028862599,-0.012297706281865392,-0.019382516370119614,-0.019563833721141066,-0.017578842351298613,-0.018578680584273408,-0.018659616250946073,-0.01936586432050041,1,1561027388108
-0.014211440290384326,-0.012302087223778633,-0.019387880788788888,-0.019569220491554795,-0.017584117362990065,-0.018583776782009218,-0.01866524889054881,-0.019370804056025034,1,1561027388108
-0.014207618142082469,-0.012297706281865392,-0.01938448332363168,-0.019565420694997393,-0.017580630490855037,-0.018580021688940726,-0.018662276108536255,-0.01936749599784565,1,1561027388115
-0.014195771717521156,-0.01228628454044873,-0.019371787532781067,-0.019552590793680047,-0.0175680464587267,-0.018567214139367835,-0.018650608497930585,-0.01935562722153988,1,1561027388116
-0.014189021490695654,-0.012279579017112139,-0.01936443380885527,-0.019545259421498706,-0.01756055862433417,-0.01855986041544204,-0.018642405407715487,-0.019347714704002702,1,1561027388122
-0.014189982615707232,-0.012279847238045602,-0.019365238471655662,-0.019546444063954838,-0.01756151974934575,-0.01856091094743144,-0.01864300890481578,-0.019348362904591906,1,1561027388122
-0.014188686214528824,-0.012278170857211454,-0.01936438910536636,-0.019545639401154447,-0.017560826845267635,-0.018559748656719763,-0.01864229364899321,-0.01934715591039132,1,1561027388128
-0.014180885455713922,-0.012270258339674276,-0.019357415361096305,-0.019538084511528553,-0.017553674287041937,-0.018552305525816146,-0.018635744587867806,-0.019339936296932255,1,1561027388129
-0.014166625042751436,-0.012256154388922975,-0.01934257380277798,-0.019522974732276765,-0.01753847510081233,-0.01853732985703109,-0.018621372416183044,-0.019325362959547395,1,1561027388135
-0.01415927131882564,-0.012248957127208367,-0.019334840099196445,-0.019515218676950774,-0.01753051787978624,-0.01852932793251609,-0.018613616360857052,-0.01931776336643259,1,1561027388135
-0.014160858292681967,-0.012250097066175587,-0.019336650590497325,-0.01951723033395175,-0.017532529536787217,-0.01853046787148331,-0.01861462218935754,-0.019319082119355454,1,1561027388141
-0.014160031278137121,-0.012249270051630741,-0.019336181203863764,-0.019516738595573735,-0.017532350722831574,-0.018530534926716677,-0.018613750471323784,-0.01931814334608833,1,1561027388148
-0.014158936042658811,-0.012248443037085895,-0.019335510651530104,-0.019515822174051067,-0.017531255487353264,-0.0185304231679944,-0.01861276699456775,-0.01931762925596586,1,1561027388148
-0.014152297574555585,-0.012242072789916132,-0.019328268686326585,-0.019507797897791612,-0.01752374530121628,-0.018522868278368507,-0.018604943884008393,-0.01931090138088481,1,1561027388154
-0.014145614402963448,-0.012235613135768549,-0.019321183183334253,-0.019501025319221654,-0.017516972722646323,-0.018515961589331817,-0.01859814895369398,-0.019304307616270496,1,1561027388154
-0.014146955507630767,-0.012236931888691412,-0.019322546639746026,-0.019502880514011445,-0.017518492641269284,-0.018517548563188144,-0.01859957946533912,-0.019305805183149,1,1561027388160
-0.014146396714019384,-0.012236104874146565,-0.019322568991490482,-0.019502455830866794,-0.01751855969650265,-0.01851752621144369,-0.018599087726961103,-0.019305894590126823,1,1561027388161
-0.014138908879626856,-0.012228773501965225,-0.019315796412920524,-0.019495213865663275,-0.01751174241444378,-0.018510306597984624,-0.01859343273561391,-0.019298406755734295,1,1561027388167
-0.014127665952165837,-0.012217329408804108,-0.01930381587789248,-0.019482629833534937,-0.017499873638138014,-0.01849832606295658,-0.018582167456408435,-0.019285822723605957,1,1561027388167
-0.014120468690451228,-0.012210132147089499,-0.01929594806384421,-0.01947514199914241,-0.017491916417111925,-0.018490838228564052,-0.018573830255726606,-0.019278200778746698,1,1561027388173
-0.01412321795501923,-0.012213037873868689,-0.019298965549345678,-0.019478338298599518,-0.01749479979214666,-0.018493922769298884,-0.018577183017394902,-0.019281106505525888,1,1561027388173
-0.014120356931728952,-0.012210378016278507,-0.019296775078389058,-0.019476170179387353,-0.017492475210723307,-0.018491777001831175,-0.018574545511549176,-0.01927909484852491,1,1561027388180
-0.014113092614780977,-0.012203158402819443,-0.019289689575396726,-0.01946908467639502,-0.01748512148679751,-0.018484713850583298,-0.018566789456223184,-0.01927285871182188,1,1561027388180
-0.014102252018720153,-0.012192228399780798,-0.019278491351424617,-0.019457439417533806,-0.017473722097125305,-0.018473247405677726,-0.018555747694462263,-0.019261168749471754,1,1561027388186
